respondent_c,a2,a3a,a3b,a3c,a3d,a3e,a3f,a3g,a3h,a3i,a3j,a3k,a3l,a4a,a4g,a4h,a4c,a4d,a4e,a4f,a4i,a5,b1,b3,b6a,b6b,b6c,b6d,b6e,b6f,b6g,b7a,b7b,b7c,b7d,b7e,b7f,b8a
cwha0402,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,3,1,5,3,3,1,1,3,3,1,3,1,1,3,1
csla0403,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,10,2,4,4,1,4,1,4,1,4,6,4,4,1,1,2
ckta0405,14,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,10,2,1,4,4,4,1,1,4,1,1,1,1,1,1,#NULL!
cgxa0406,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,4,4,7,4,2,2,2,2,2,7,2,2,2,2,#NULL!
cwfc0415,14,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,12,3,2,5,2,5,1,1,4,2,4,4,2,1,2,#NULL!
cwde0428,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,12,4,1,5,2,1,1,2,5,2,2,5,1,2,4,#NULL!
cshe0429,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,9,3,1,4,4,1,1,1,4,4,4,4,4,4,3,2
ckpe0431,14,0,0,0,0,0,1,0,0,0,0,0,0,99,99,99,99,99,99,99,99,4,10,1,1,1,1,2,1,1,2,1,1,2,1,1,2,#NULL!
cgte0432,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,2,1,1,1,2,1,4,1,1,1,4,1,1,1,#NULL!
cyaf0434,16,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,10,2,1,2,2,7,6,1,6,1,2,1,2,1,1,#NULL!
